long,lat,Total Stops,Total Citations,Total Accidents,Total Injuries,Total Fatalities,geometry,Stops per Accident,Stops per Injury,Stops per Fatality
-77.4025,39.1875,3,0,0,0,0,POINT (-77.4025 39.1875),0.0,0.0,0.0
-77.4025,39.19,2,0,0,0,0,POINT (-77.4025 39.19),0.0,0.0,0.0
-77.4025,39.1975,4,16,4,0,0,POINT (-77.4025 39.1975),1.0,0.0,0.0
-77.4025,39.4325,1,1,1,1,0,POINT (-77.4025 39.4325),1.0,1.0,0.0
-77.4,39.1325,20,124,0,0,0,POINT (-77.40000000000001 39.1325),0.0,0.0,0.0
-77.4,39.135,26,18,0,0,0,POINT (-77.40000000000001 39.135),0.0,0.0,0.0
-77.4,39.1375,1,0,0,0,0,POINT (-77.40000000000001 39.1375),0.0,0.0,0.0
-77.4,39.14,17,2,0,0,0,POINT (-77.40000000000001 39.14),0.0,0.0,0.0
-77.4,39.1425,2,0,0,0,0,POINT (-77.40000000000001 39.1425),0.0,0.0,0.0
-77.4,39.165,1,0,0,0,0,POINT (-77.40000000000001 39.165),0.0,0.0,0.0
-77.4,39.1675,1,1,0,0,0,POINT (-77.40000000000001 39.1675),0.0,0.0,0.0
-77.4,39.17,16,29,2,2,0,POINT (-77.40000000000001 39.17),0.125,0.125,0.0
-77.4,39.1925,1,0,0,0,0,POINT (-77.40000000000001 39.1925),0.0,0.0,0.0
-77.4,39.4175,1,0,0,0,0,POINT (-77.40000000000001 39.4175),0.0,0.0,0.0
-77.4,39.4225,8,0,0,0,0,POINT (-77.40000000000001 39.4225),0.0,0.0,0.0
-77.3975,39.085,9,42,0,0,0,POINT (-77.39749999999999 39.085),0.0,0.0,0.0
-77.3975,39.1,2,0,0,0,0,POINT (-77.39749999999999 39.1),0.0,0.0,0.0
-77.3975,39.1325,20,8,0,0,0,POINT (-77.39749999999999 39.1325),0.0,0.0,0.0
-77.3975,39.1375,19,24,0,0,0,POINT (-77.39749999999999 39.1375),0.0,0.0,0.0
-77.3975,39.14,6,3,0,0,0,POINT (-77.39749999999999 39.14),0.0,0.0,0.0
-77.3975,39.1425,8,11,0,0,0,POINT (-77.39749999999999 39.1425),0.0,0.0,0.0
-77.3975,39.15,3,0,0,0,0,POINT (-77.39749999999999 39.15),0.0,0.0,0.0
-77.3975,39.16,4,0,0,0,0,POINT (-77.39749999999999 39.16),0.0,0.0,0.0
-77.3975,39.1675,1,0,0,0,0,POINT (-77.39749999999999 39.1675),0.0,0.0,0.0
-77.3975,39.195,3,1,0,0,0,POINT (-77.39749999999999 39.195),0.0,0.0,0.0
-77.3975,39.1975,1,1,0,0,0,POINT (-77.39749999999999 39.1975),0.0,0.0,0.0
-77.3975,39.225,2,4,0,0,0,POINT (-77.39749999999999 39.225),0.0,0.0,0.0
-77.395,39.1325,12,38,1,0,0,POINT (-77.395 39.1325),0.08333333333333333,0.0,0.0
-77.395,39.1375,55,47,4,0,0,POINT (-77.395 39.1375),0.07272727272727272,0.0,0.0
-77.395,39.14,3,2,0,0,0,POINT (-77.395 39.14),0.0,0.0,0.0
-77.395,39.1625,1,0,0,0,0,POINT (-77.395 39.1625),0.0,0.0,0.0
-77.395,39.1675,2,2,0,0,0,POINT (-77.395 39.1675),0.0,0.0,0.0
-77.395,39.2,3,3,0,0,0,POINT (-77.395 39.2),0.0,0.0,0.0
-77.395,39.2225,1,0,0,0,0,POINT (-77.395 39.2225),0.0,0.0,0.0
-77.395,39.225,1,1,0,0,0,POINT (-77.395 39.225),0.0,0.0,0.0
-77.395,39.355,4,3,0,0,0,POINT (-77.395 39.355),0.0,0.0,0.0
-77.3925,38.9875,14,10,0,0,0,POINT (-77.3925 38.9875),0.0,0.0,0.0
-77.3925,39.1325,5,3,0,0,0,POINT (-77.3925 39.1325),0.0,0.0,0.0
-77.3925,39.1675,4,4,3,0,0,POINT (-77.3925 39.1675),0.75,0.0,0.0
-77.3925,39.2025,7,3,0,0,0,POINT (-77.3925 39.2025),0.0,0.0,0.0
-77.3925,39.2225,13,11,0,0,0,POINT (-77.3925 39.2225),0.0,0.0,0.0
-77.3925,39.225,18,36,0,0,0,POINT (-77.3925 39.225),0.0,0.0,0.0
-77.39,39.0825,2,4,0,0,0,POINT (-77.39 39.0825),0.0,0.0,0.0
-77.39,39.1325,3,6,0,0,0,POINT (-77.39 39.1325),0.0,0.0,0.0
-77.39,39.1525,1,0,0,0,0,POINT (-77.39 39.1525),0.0,0.0,0.0
-77.39,39.155,9,36,0,0,0,POINT (-77.39 39.155),0.0,0.0,0.0
-77.39,39.165,20,16,6,0,0,POINT (-77.39 39.165),0.3,0.0,0.0
-77.39,39.2225,12,3,1,0,0,POINT (-77.39 39.2225),0.08333333333333333,0.0,0.0
-77.3875,39.08,1,1,0,0,0,POINT (-77.3875 39.08),0.0,0.0,0.0
-77.3875,39.0825,2,0,0,0,0,POINT (-77.3875 39.0825),0.0,0.0,0.0
-77.3875,39.125,5,10,0,0,0,POINT (-77.3875 39.125),0.0,0.0,0.0
-77.3875,39.1325,12,5,0,0,0,POINT (-77.3875 39.1325),0.0,0.0,0.0
-77.3875,39.16,1,0,0,0,0,POINT (-77.3875 39.16),0.0,0.0,0.0
-77.3875,39.1625,3,0,0,1,0,POINT (-77.3875 39.1625),0.0,0.3333333333333333,0.0
-77.3875,39.165,4,2,0,0,0,POINT (-77.3875 39.165),0.0,0.0,0.0
-77.3875,39.205,8,27,0,0,0,POINT (-77.3875 39.205),0.0,0.0,0.0
-77.3875,39.2225,5,4,0,0,0,POINT (-77.3875 39.2225),0.0,0.0,0.0
-77.3875,39.325,6,36,0,0,0,POINT (-77.3875 39.325),0.0,0.0,0.0
